latitude,longitude,elevation,time
35.604199,138.827267,593.468409,2024-11-16 06:15:52
35.604209,138.827265,587.764457,2024-11-16 06:15:53
35.605121,138.835044,594.354523,2024-11-16 06:25:55
35.603598,138.842334,611.776264,2024-11-16 06:35:56
35.607006,138.84547,633.466358,2024-11-16 06:45:59
35.610578,138.845029,665.596985,2024-11-16 06:56:06
35.612124,138.842202,710.577044,2024-11-16 07:06:10
35.613454,138.83813,749.994383,2024-11-16 07:16:11
35.617009,138.834451,791.621433,2024-11-16 07:26:26
35.618036,138.833515,839.331985,2024-11-16 07:36:26
35.620636,138.831703,894.489104,2024-11-16 07:46:26
35.623992,138.833124,951.940571,2024-11-16 07:56:28
35.626496,138.832879,1021.68177,2024-11-16 08:06:28
35.627733,138.834792,1089.359549,2024-11-16 08:16:28
35.628566,138.83442,1151.168675,2024-11-16 08:26:33
35.629586,138.834814,1204.128444,2024-11-16 08:37:09
35.629753,138.835075,1256.114096,2024-11-16 08:47:11
35.632033,138.838531,1301.82785,2024-11-16 08:57:16
35.634644,138.841538,1345.537931,2024-11-16 09:07:19
35.63632,138.845732,1400.597368,2024-11-16 09:17:21
35.634992,138.848493,1466.295376,2024-11-16 09:27:21
35.632296,138.851679,1522.601648,2024-11-16 09:37:25
35.630348,138.851599,1568.393246,2024-11-16 09:47:26
35.630367,138.851033,1602.187482,2024-11-16 09:57:33
35.630375,138.85103,1620.732757,2024-11-16 10:08:19
35.630352,138.851053,1624.463905,2024-11-16 10:18:39
35.630356,138.851077,1609.634504,2024-11-16 10:29:09
35.630311,138.851202,1580.111219,2024-11-16 10:39:24
35.629435,138.852917,1535.137602,2024-11-16 10:49:27
35.627599,138.855863,1477.424865,2024-11-16 10:59:28
35.626959,138.857242,1404.442054,2024-11-16 11:09:35
35.625437,138.858413,1330.074171,2024-11-16 11:19:39
35.623693,138.861136,1250.020425,2024-11-16 11:29:39
35.620868,138.863287,1160.723568,2024-11-16 11:39:45
35.620659,138.865766,1074.428136,2024-11-16 11:49:47
35.621026,138.867612,982.668931,2024-11-16 11:59:48
35.620564,138.868915,890.541834,2024-11-16 12:09:52
35.618245,138.871835,805.817122,2024-11-16 12:19:56
35.616461,138.875458,728.253072,2024-11-16 12:30:01
35.613441,138.877006,647.097056,2024-11-16 12:40:05
35.608034,138.880419,578.88299,2024-11-16 12:50:07
35.601407,138.878151,526.413404,2024-11-16 13:00:10
35.596335,138.881444,487.038022,2024-11-16 13:10:13
35.594844,138.884354,467.599773,2024-11-16 13:20:16
35.594227,138.884257,457.186829,2024-11-16 13:23:50
